2021-04-11 03:34:03 INFO     Conectado a LAPTOP-GS9DBS5C en el puerto 55555
2021-04-11 03:34:04 INFO     Archivo a enviar: 100MB.zip con tamaño de 100 MB
2021-04-11 03:34:05 INFO     Número de clientes: 1
2021-04-11 03:34:05 INFO     UDP Connected to LAPTOP-GS9DBS5C on port 50000
2021-04-11 03:34:14 INFO     Conexión con éxitosa con 192.168.1.5:51691. Asignado id: 0
2021-04-11 03:34:14 INFO     Cliente #0 iniciado
2021-04-11 03:34:14 INFO     SERVER: reiniciando threads
2021-04-11 03:34:14 INFO     El cliente #0 está listo para recibir
2021-04-11 03:34:15 INFO     Archivo enviado al cliente #0, bytes enviados: 104865944
2021-04-11 03:34:15 INFO     Hash enviado al cliente #0, bytes enviados en total: 104866013
2021-04-11 03:34:15 INFO     Tiempo del envío al cliente #0: 0
