2021-04-11 03:34:44 INFO     Conectado a LAPTOP-GS9DBS5C en el puerto 55555
2021-04-11 03:34:46 INFO     Archivo a enviar: 100MB.zip con tamaño de 100 MB
2021-04-11 03:34:47 INFO     Número de clientes: 1
2021-04-11 03:34:47 INFO     UDP Connected to LAPTOP-GS9DBS5C on port 50000
2021-04-11 03:34:53 INFO     Conexión con éxitosa con 192.168.1.5:51702. Asignado id: 0
2021-04-11 03:34:53 INFO     Cliente #0 iniciado
2021-04-11 03:34:53 INFO     SERVER: reiniciando threads
2021-04-11 03:34:54 INFO     El cliente #0 está listo para recibir
2021-04-11 03:34:55 INFO     Archivo enviado al cliente #0, bytes enviados: 104865944
2021-04-11 03:34:55 INFO     Hash enviado al cliente #0, bytes enviados en total: 104866013
2021-04-11 03:34:55 INFO     Tiempo del envío al cliente #0: 0
